treatment,treatment_label,replicate,week,soil_pH,organic_carbon_pct,available_N_mgkg,available_P_mgkg,available_K_mgkg,MBC_ugg,MBN_ugg,MBP_ugg,MBK_ugg,urease_activity,amylase_activity,dehydrogenase_activity,genus_Bacillus,genus_Pseudomonas,genus_Azotobacter,genus_Rhizobium,genus_Streptomyces,genus_Arthrobacter,genus_Enterobacter,genus_Nitrosomonas,genus_Flavobacterium,genus_Serratia,genus_Micrococcus,genus_Paenibacillus,leaf_number_6wap,plant_height_cm,shoot_dry_matter_g,grain_yield_kg_ha
A,Unamended control,1,0,6.11,1.38,55.8,11.8,47.3,104.5,18.0,8.2,13.0,12.44,7.81,5.73,498,750,725,1116,444,1923,317,2475,69,260,292,451,,31.0,4.45,
A,Unamended control,1,2,6.14,1.43,53.5,10.6,60.7,138.2,18.4,10.1,13.3,15.99,7.47,3.1,867,159,1820,1229,395,455,1066,1401,293,61,183,977,,29.6,4.4,
A,Unamended control,1,4,6.01,1.57,49.3,10.0,57.4,108.3,19.3,8.1,13.2,16.69,7.23,5.69,683,800,52,146,303,2421,1390,2476,514,158,975,52,,29.9,4.06,
A,Unamended control,1,6,6.3,1.49,47.8,10.8,61.4,147.7,20.5,9.7,17.0,11.81,5.56,3.82,506,1575,48,1084,399,1298,2,2581,366,2310,684,24,9.2,34.6,4.15,
A,Unamended control,1,8,6.21,1.47,47.3,9.2,56.0,160.3,15.7,10.6,11.1,18.29,7.26,4.79,395,54,328,1301,551,533,268,3794,56,37,332,529,,26.7,4.49,
A,Unamended control,1,10,6.0,1.54,52.7,11.2,69.2,130.9,20.2,5.5,13.4,13.1,4.75,3.97,336,61,294,1333,1961,204,677,1136,639,345,238,1561,,27.5,2.84,
A,Unamended control,1,12,6.04,1.42,51.2,9.4,60.5,104.2,14.0,13.1,10.4,12.46,9.7,8.56,62,90,200,1727,1561,112,584,2640,1122,247,2089,1122,,35.9,5.09,2536.5
A,Unamended control,2,0,5.95,1.37,58.0,10.8,61.9,97.8,20.4,9.6,10.2,13.59,6.82,4.86,547,202,1314,317,380,214,1549,2063,152,181,953,1074,,34.2,4.26,
A,Unamended control,2,2,6.18,1.47,52.6,9.4,65.3,107.4,20.1,8.5,16.0,17.38,9.37,5.72,21,1832,1756,196,584,156,209,2370,557,778,744,1713,,27.4,4.51,
A,Unamended control,2,4,6.22,1.54,53.8,10.9,54.5,124.0,17.4,9.6,15.7,12.07,6.32,6.67,178,535,523,1145,1227,371,1995,2221,31,22,741,684,,22.3,4.08,
A,Unamended control,2,6,5.99,1.58,56.4,10.8,64.6,130.7,19.6,7.7,12.9,15.97,7.89,4.46,1056,451,90,328,1907,1699,667,2203,696,233,199,1469,9.5,26.2,4.36,
A,Unamended control,2,8,6.04,1.31,57.8,9.7,57.2,112.4,16.2,9.9,12.9,16.49,7.22,6.56,141,624,1580,542,3042,143,846,2238,91,247,95,857,,28.5,4.21,
A,Unamended control,2,10,6.15,1.5,58.8,9.0,60.8,168.5,19.0,11.7,13.7,17.37,6.61,4.82,214,1274,1533,2198,396,428,61,603,2226,516,309,1323,,24.8,3.95,
A,Unamended control,2,12,6.07,1.53,57.8,11.3,65.1,120.3,21.1,12.2,11.2,13.09,8.9,4.84,2164,2262,1011,541,293,43,441,503,794,458,759,1482,,30.8,4.48,2514.1
A,Unamended control,3,0,6.37,1.49,50.5,9.3,52.8,105.3,14.9,8.7,13.8,15.15,5.18,5.88,800,1299,481,361,194,30,1256,2028,62,929,2104,123,,25.3,4.15,
A,Unamended control,3,2,6.33,1.31,45.9,9.8,56.2,137.3,18.5,5.7,14.4,13.39,8.5,4.09,1137,1284,330,75,773,1476,723,2812,734,320,720,1494,,36.7,3.78,
A,Unamended control,3,4,5.77,1.48,51.2,10.2,53.0,134.9,19.5,6.3,14.9,21.41,6.8,4.49,498,5229,28,405,88,107,913,2393,393,1096,383,30,,27.6,2.51,
A,Unamended control,3,6,6.18,1.56,49.3,8.6,65.1,132.5,25.2,9.8,14.3,14.87,7.89,5.69,2098,1028,335,1322,492,939,1522,1637,2,249,1887,124,10.0,26.4,3.53,
A,Unamended control,3,8,6.14,1.5,56.4,10.6,64.6,112.9,18.1,8.7,10.4,10.81,7.74,4.56,91,1147,65,1783,299,438,441,2214,924,1205,9,1216,,28.3,3.56,
A,Unamended control,3,10,6.06,1.5,48.4,13.8,71.5,146.5,15.5,10.7,15.1,16.95,8.7,5.79,779,821,374,39,1951,486,343,752,393,587,1781,343,,29.6,4.0,
A,Unamended control,3,12,5.9,1.53,50.1,8.9,64.2,136.5,13.1,9.0,16.1,18.93,8.4,5.12,327,357,3257,833,699,809,1287,2507,628,87,564,165,,29.7,4.17,2410.6
A,Unamended control,4,0,6.24,1.18,54.0,12.7,52.2,118.3,15.3,7.2,12.2,19.28,9.34,4.4,1095,1633,515,809,211,304,1708,2026,1263,670,90,609,,29.8,3.4,
A,Unamended control,4,2,6.17,1.52,42.8,7.5,59.3,121.8,17.4,8.8,13.7,17.97,4.68,3.44,141,64,53,693,28,481,623,3500,1059,641,313,1944,,25.9,3.57,
A,Unamended control,4,4,6.12,1.58,49.5,12.0,66.6,147.7,19.5,11.4,8.5,14.3,5.13,5.03,172,1660,454,316,484,1381,539,1270,772,822,1004,185,,20.4,4.28,
